,ticker,price,volatility,drift
0,AMAT,107.599998,0.021095,-0.000118
1,GRFS,7.85,0.020119,-0.00088
2,AIT,128.470001,0.014539,0.000558
3,ORAN,9.76,0.008975,-0.000183
4,BBY,81.8312,0.019145,-0.000299
5,MAEOY,9.444,0.013306,-0.000145
6,IBTX,62.84,0.013429,-0.000142
7,VSAT,30.715,0.023861,-0.000381
8,AVNW,30.875,0.021145,0.00016
9,JUNO,86.959999,0.034217,0.002043
10,SKFOF,249.600006,0.026317,-4e-05
11,TXN,174.309998,0.013509,-3.3e-05
12,OPTT,0.6198,0.03907,-0.001125
13,PSEC,7.2624,0.011647,-0.000133
14,AIV,8.005,0.015609,0.000349
15,MTRX,5.45,0.027785,-0.00052
16,HDP,14.68,0.024577,0.000518
17,NRILY,23.2101,0.022302,-0.000204
18,WVVI,6.1,0.017248,-0.000958
19,CMP,43.365002,0.021214,-0.000213
20,FOXA,31.285,0.01328,-0.000162
21,BHLB,30.24,0.01355,0.000207
22,UMH,17.15,0.013081,-0.000251
23,STBZ,21.59,0.010935,-0.00025
24,FMBM,23.0,0.011674,-0.000268
25,SXC,8.105,0.020636,0.000369
26,FET,28.831301,0.023482,0.000513
27,TV,4.805,0.017026,-0.001348
28,OPHC,4.37,0.030398,0.000348
29,ETP,16.49,0.003191,-0.000186
30,TGI,11.67,0.029348,-0.000359
31,ARCO,7.19,0.018288,0.00042
32,GGDVF,0.95,0.023185,-0.000329
33,PHM,44.220001,0.017658,-0.000163
34,BFAM,66.110001,0.017142,-0.000965
35,UNH,542.340027,0.01093,0.00046
36,EJPRY,9.425,0.01598,-0.000194
37,SHW,249.830002,0.014277,-3.1e-05
38,CHW,5.9399,0.01093,-0.000786
39,DORM,83.029999,0.014002,-0.00023
40,UCBI,35.709999,0.013665,0.000227
41,CVCY,20.700001,0.011944,9.1e-05
42,JEQ,5.57,0.011271,-0.000561
43,ARTNA,55.41,0.011566,0.000592
44,IBOC,47.945,0.013257,0.000221
45,BLD,157.520004,0.020289,-0.000132
46,BSAC,15.66,0.016076,-0.00017
47,GENC,10.92,0.017927,4e-05
48,GKNLY,5.615,0.015936,0.000397
49,HERO,18.886,0.012169,-0.000649
50,STAA,60.875,0.028368,-0.000843
51,HIW,28.459999,0.012261,-0.000569
52,HOFT,17.5,0.015812,-0.000831
53,PACW,24.469999,0.017848,-0.000572
54,TDHOY,5.99,0.025448,0.000227
55,ADI,169.089996,0.014575,0.000106
56,RGS,1.2,0.054479,-0.001349
57,VNOM,30.379999,0.019684,0.000824
58,IIM,12.4401,0.006727,-0.000377
59,MUA,10.56,0.008755,-0.000627
60,BKQNY,10.12,0.013258,-0.000345
61,WMT,146.848999,0.010451,0.000127
62,NWFL,34.490002,0.01246,0.000448
63,PTNR,6.97,0.022113,0.000847
64,FMI,137.0,0.025023,0.002654
65,FISI,23.969999,0.012461,-0.000238
66,TWODY,12.47,0.023139,-0.000515
67,DSWL,3.11,0.024008,-0.000295
68,FUN,40.075001,0.016993,-2.4e-05
69,MMSI,73.449997,0.014585,0.000283
70,RYAM,8.3256,0.029129,0.000734
71,REGI,61.5,0.02938,0.000198
72,FSBW,34.080002,0.011672,1.6e-05
73,LL,5.965,0.027552,-0.001368
74,HNTIF,3.33,0.026711,0.00025
75,PBCRY,13.875,0.029731,0.000833
76,NWPX,35.525799,0.016829,0.000457
77,CNET,0.705,0.051208,-0.000203
78,CNX,16.225,0.021628,0.000455
79,FRO,14.205,0.024431,0.00097
80,LEE,18.030001,0.025025,-0.000257
81,MACK,11.715,0.053644,0.002284
82,PSX,99.440002,0.017546,0.000336
83,TCTZF,40.174,0.029147,-0.000423
84,BLDR,65.730003,0.021609,0.000793
85,EAC,10.06,0.001584,5.8e-05
86,WIA,9.15,0.006949,-0.000539
87,EMITF,1.35,0.031676,-0.000364
88,FPF,17.200001,0.00724,-0.00049
89,MPFRF,1.5,0.014707,-0.000372
90,DDS,333.5,0.029429,0.001222
91,MPX,11.21,0.02209,-0.000259
92,KFRC,52.639999,0.015404,-0.000135
93,VEEV,174.880005,0.020003,-0.0006
94,CLR,74.269997,0.022637,0.001271
95,BOUYY,6.1024,0.020591,-8.9e-05
96,PEG,60.02,0.00965,4.2e-05
97,SEIC,60.77,0.011401,2.8e-05
98,CSBK,15.65,0.007686,9.1e-05
99,FNLPF,10.45,0.022967,0.000179
100,NOV,19.825001,0.022622,0.000581
101,EVC,5.295,0.021324,-0.000109
102,NGVC,9.56,0.020129,2.2e-05
103,WAL,61.240002,0.018993,-0.000426
104,SHTDF,2.76,0.023557,0.000205
105,CRM,133.645004,0.018803,-0.000653
106,TMO,566.36499,0.012709,0.000226
107,LMNR,12.54,0.017396,-0.000338
108,AIZ,129.654999,0.01139,-0.000196
109,HBCP,41.450001,0.012908,0.000189
110,SCD,12.3197,0.010626,-0.000153
111,HEAR,8.375,0.031726,-0.001282
112,ACNB,37.5,0.013326,0.000433
113,ARR,5.845,0.015457,-0.000806
114,SFL,9.63,0.014459,0.000414
115,MYI,10.9979,0.005545,-0.000397
116,SPR,28.817699,0.025128,-0.000373
117,BIP,34.57,0.009897,-6.8e-05
118,TELNY,9.1,0.012017,-0.000788
119,WSTL,1.21,0.033254,0.001086
120,PFSW,10.93,0.020347,0.000714
121,HNHPF,6.53,0.01305,-0.00021
122,TBPH,10.895,0.02892,3.5e-05
123,CGO,9.23,0.011965,-0.000705
124,CRIS,0.6625,0.048416,-0.002241
125,ATSG,27.440001,0.015068,0.000343
126,MASI,141.524994,0.022002,-0.000532
127,RMAX,19.84,0.015752,-0.000605
128,HDELY,10.79,0.016784,-0.000492
129,NCMGY,13.945,0.023075,-0.000181
130,CLRO,1.54,0.040935,0.000191
131,PNR,45.209999,0.013717,-0.000465
132,CIMDF,1.3,0.005199,0.000242
133,DVAX,11.5,0.030747,0.000633
134,DVN,60.869999,0.02395,0.001258
135,SPG,116.669998,0.014588,-5.8e-05
136,TRAUF,9.266,0.014596,-8.4e-05
137,VIPS,12.845,0.032378,-1.6e-05
138,AUDC,18.58,0.016009,-0.000676
139,GTIM,2.6726,0.030507,-8e-05
140,PENN,34.009998,0.026928,-0.000746
141,GELYY,30.620001,0.024653,-0.000663
142,BMY,78.635002,0.009288,0.000272
143,MTLS,9.46,0.028467,-0.000928
144,EBMT,16.972401,0.010747,-0.000354
145,EHTH,4.04,0.043863,-0.002722
146,QUCCF,14.51,0.016652,0.000755
147,WIRE,141.559998,0.023553,0.001127
148,PMHV,16.299999,0.014613,0.000316
149,IFF,107.065002,0.01333,-0.000367
150,MSTR,196.869995,0.044004,-0.00067
151,RMCF,5.9,0.023003,-0.0001
152,LTRPA,0.7145,0.038865,-0.001628
153,ODMUF,0.6,0.035624,0.000275
154,FT,6.98,0.008038,-0.000208
155,GVA,35.779999,0.015435,-0.000109
156,BJZ,14.46,0.003796,-6.5e-05
157,MHI,8.9407,0.005989,-0.000497
158,AMSC,3.28,0.034479,-0.001722
159,HP,48.080002,0.025038,0.000814
160,EMMS,3.25,0.073022,0.002895
161,STJPF,13.65,0.022914,-0.000251
162,ATW,470.0,0.009435,0.000417
163,MFA,11.4009,0.017324,-0.000509
164,CGMBF,0.28728,0.012731,-0.000804
165,ABMD,380.350006,0.023699,0.000548
166,MIDD,139.119995,0.015458,-0.000179
167,GSBC,61.240002,0.012266,0.000236
168,PFBX,14.75,0.011126,-5e-05
169,NPSNY,31.549999,0.027895,2.1e-05
170,CTHR,0.86,0.023023,-0.001456
171,KMTUY,22.6,0.02171,7.7e-05
172,NEWP,2.49,0.036431,-0.000252
173,CHDN,220.190002,0.017098,0.000279
174,CEVA,27.215,0.021651,-0.000517
175,SYPR,2.06,0.032033,-0.000267
176,SKSUF,15.33,0.005509,-0.000166
177,LPNT,64.989998,0.016117,0.000146
178,ASML,601.049988,0.021063,5.4e-05
179,CNXR,0.345,0.074534,0.000441
180,NERV,3.14,0.066654,-0.000224
181,PFN,7.37,0.008336,-0.000518
182,PBT,22.349899,0.027298,0.002313
183,SIELY,4.51,0.017963,-5.6e-05
184,VCISY,25.57,0.01397,2e-05
185,VWSYF,28.807501,0.029397,-5.7e-05
186,FQVLF,22.700001,0.033984,0.000558
187,GRMN,94.769997,0.01341,-0.000503
188,RDWR,19.74,0.016595,-0.000481
189,ALIM,3.12,0.039823,-0.000676
190,CVV,6.02,0.026766,0.000785
191,PBR,10.045,0.02318,4.9e-05
192,CCHGY,23.950001,0.017299,-0.000428
193,GPN,99.059998,0.017388,-0.000757
194,BAX,52.450001,0.012279,-0.000528
195,NYMX,0.5282,0.070844,0.001026
196,SBHGF,18.5,0.017975,-0.000175
197,SHBI,19.27,0.009921,0.000232
198,NIE,20.799999,0.009833,-0.000471
199,MCBC,10.88,0.010587,0.00035
200,FPL,6.04,0.011177,9e-05
201,CTSO,1.2376,0.039578,-0.001692
202,SODA,143.679993,0.014507,0.001518
203,ASGN,84.540001,0.015484,-8.6e-05
204,MAKSY,2.99,0.022344,-0.000219
205,GJS,21.139999,0.007135,1.8e-05
206,NICE,201.850006,0.017091,-0.00015
207,THO,82.589996,0.020499,-0.000258
208,DKILF,158.160004,0.027154,0.000116
209,MRCY,49.088799,0.017895,-0.000266
210,PSMMY,30.834999,0.019365,-0.001192
211,ALOG,83.949997,0.013427,0.000161
212,PHX,3.46,0.030372,0.00034
213,ESS,215.75,0.011284,-0.000406
214,MS-PF,25.120001,0.004606,-0.000152
215,ROST,114.775002,0.019993,8.3e-05
216,WYNN,85.919998,0.023679,-0.000204
217,WU,13.995,0.013448,-0.000592
218,GWRE,63.849998,0.016432,-0.000643
219,CRRFY,3.4,0.014132,-0.000123
220,MUJ,12.06,0.005566,-0.000374
221,CFEGF,0.06,0.0353,-0.000144
222,CDZI,2.16,0.040685,-0.001774
223,CCM,1.47,0.051291,0.000357
224,NRT,15.281,0.03038,0.001498
225,OMF,36.740002,0.01798,-0.00052
226,DCI,59.5,0.011306,-3.7e-05
227,FOJCY,3.2,0.027854,-0.000359
228,TVFCF,6.09,0.01643,-0.000525
229,MCN,7.6523,0.01035,-2.9e-05
230,NBN,45.689999,0.014317,0.000684
231,SCHL,37.689999,0.015455,0.000115
232,AEZS,3.88,0.03817,-0.001649
233,FIF,14.75,0.010345,0.000151
234,SAMG,18.15,0.016925,0.000331
235,TMHC,30.35,0.019683,0.000351
236,PNK,32.549999,0.009955,0.000651
237,PAYX,120.745003,0.011356,0.000211
238,ENVA,39.189999,0.019236,0.000354
239,GRX,10.14,0.009424,-0.00035
240,ABLT,127.0,0.02642,-0.000393
241,ZOES,12.76,0.024776,0.000129
242,RGLS,1.4804,0.047113,-0.001252
243,SZKMY,135.910004,0.027849,8.9e-05
244,KEYW,11.23,0.025905,0.001339
245,EVLV,3.675,0.045755,-0.000334
246,PTSI,27.16,0.025867,0.001316
247,DEI,15.72,0.014069,-0.000947
248,SWRBY,6.24,0.024554,0.000371
249,LPL,5.36,0.018799,-0.000768
250,CB,216.225006,0.01089,0.000456
251,SMTC,29.76,0.022444,-0.000881
252,YORW,46.169998,0.012011,8.2e-05
253,CYAN,1.11,0.029792,-0.000914
254,HAIN,17.65,0.017238,-0.000975
255,VNCE,7.84,0.030014,0.000117
256,AAVL,11.89,0.038411,0.002115
257,AELTF,0.59,0.046374,0.000802
258,VOXX,9.41,0.028356,-0.000134
259,MHN,10.4,0.006171,-0.000464
260,NDSN,234.729996,0.010878,0.000158
261,GPOR,70.525002,0.020022,0.000295
262,HPP,10.275,0.016116,-0.001236
263,PVH,73.5,0.022374,-0.000301
264,WEB,27.99,0.016992,0.000629
265,DK,27.07,0.027487,0.000714
266,RAIFF,15.5,0.022774,-0.000337
267,BLX,16.2911,0.011555,0.000146
268,GPK,21.805,0.012982,0.000342
269,MSA,135.229996,0.011873,-0.000212
270,MDLZ,67.099998,0.009098,0.000139
271,EGRX,32.105,0.020917,-0.000214
272,TWTR,53.700001,0.022614,0.000269
273,BSF,10.32,0.010265,0.000225
274,WOR,52.279999,0.019027,-4e-05
275,FNF,37.48,0.012229,-0.000149
276,NI,27.584999,0.009827,0.000194
277,ENGIY,15.18,0.015369,0.000234
278,PME,0.657,0.045647,0.000551
279,CSPI,9.39,0.024993,0.000159
280,UEEC,0.25,0.054963,-0.000409
281,INCY,82.419998,0.012366,5e-05
282,CDNS,166.479996,0.016931,0.000411
283,TRGP,69.580002,0.017591,0.000758
284,CAC,42.345001,0.011261,-0.000107
285,CCI,139.998001,0.012189,-0.000378
286,CMCT,5.42,0.01815,-0.00053
287,HFWA,30.950001,0.012745,0.000397
288,ACFN,0.35,0.05535,0.000793
289,CCOI,56.259998,0.013798,-0.000331
290,KMDA,4.5365,0.016126,-0.000223
291,PEBO,29.57,0.011728,6e-05
292,CROX,94.550003,0.029115,0.000132
293,HON,211.830002,0.010523,-0.0
294,TRYIY,10.54,0.020129,-0.000128
295,HSKA,66.370003,0.022514,-0.001484
296,LGI,15.045,0.010944,-0.00039
297,HMST,27.5,0.015325,-0.000423
298,FR,49.310001,0.010612,-2.2e-05
299,HBNC,15.2,0.015248,-8.5e-05
300,ATNM,10.59,0.031137,0.000914
301,DTK,25.48,0.004648,-2.4e-05
302,FE,41.689999,0.009731,0.000187
303,JNJ,176.289993,0.007424,0.00011
304,ED,97.050003,0.009286,0.000442
305,GE,81.824997,0.014907,-0.000267
306,NCTY,0.7332,0.048168,-0.00283
307,KVHI,10.36,0.017925,-9.9e-05
308,MMS,71.370003,0.012388,-0.000212
309,MCBK,30.5,0.008096,-0.000213
310,DENN,10.31,0.019347,-0.000457
311,GNGBY,23.209999,0.019773,-0.000464
312,USLM,149.199997,0.014946,0.000191
313,CRS,39.900002,0.021964,0.000226
314,BNTGY,12.465,0.014749,-0.00044
315,BHK,10.8309,0.008087,-0.000554
316,SXI,102.150002,0.012543,0.00018
317,SBSI,35.099998,0.011086,-6.6e-05
318,ADC,71.610001,0.010027,7.5e-05
319,FRT,107.260002,0.012009,-6e-05
320,ORENF,4.15,0.015388,0.000186
321,OMC,76.410004,0.013468,1.1e-05
322,AHPI,1.02,0.06262,7.5e-05
323,FSFG,22.34,0.010844,-6.8e-05
324,RCON,1.01,0.039185,-0.001185
325,TPC,7.58,0.019677,-0.000646
326,AMC,5.85,0.052223,-0.001687
327,LNC,31.25,0.021743,-0.000753
328,FRC,119.029999,0.016162,-0.000508
329,OJOC,275.0,0.025058,0.001239
330,ACGL,59.849998,0.011724,0.000622
331,VRSN,196.179993,0.013186,-0.000126
332,AMSWA,14.4503,0.018873,-0.00043
333,TOKUF,12.29,0.005069,-7.5e-05
334,MOH,347.929993,0.013945,0.000517
335,CIVI,57.362999,0.024935,0.000511
336,CNTY,7.42,0.025245,-0.000499
337,KTF,8.82,0.006334,-0.000431
338,RVSB,7.42,0.013885,0.000178
339,INTC,28.115499,0.015372,-0.000826
340,WHG,11.3,0.02146,-0.000621
341,AIRI,4.9,0.032053,-0.000823
342,AMADY,53.939999,0.016995,-0.000224
343,LGGNY,15.435,0.016054,-9.8e-05
344,FCMGF,7.62,0.011273,-0.000614
345,PRQR,1.4999,0.055608,-0.00049
346,CINF,105.879997,0.01273,-6.7e-05
347,NILE,0.1171,0.050696,-0.003034
348,JPI,19.15,0.006284,-0.000369
349,CIADY,44.119999,0.018781,-0.000235
350,VNET,5.005,0.044271,-0.001065
351,XPO,36.605,0.021463,-0.000167
352,JOB,0.7899,0.026375,0.000795
353,MIMTF,14.5,0.01554,-0.000763
354,QUBSF,4.0,0.019484,0.000353
355,OIIM,4.405,0.026998,-0.000266
356,PULS,49.075001,0.000407,-1.8e-05
357,HA,12.86,0.023994,-0.000617
358,ALSD,20.525,0.0,0.0
359,TUP,3.9506,0.043402,-0.001522
360,SPXX,17.58,0.008811,-9e-06
361,WABC,58.529999,0.010136,5.1e-05
362,KIRK,3.8499,0.037689,-0.001762
363,KFFB,7.175,0.017419,0.000128
364,TDS,10.65,0.018246,-0.000873
365,ASGLY,6.62,0.021513,-8e-05
366,MDXG,3.16,0.041365,-0.001074
367,FIX,120.279999,0.01506,0.000687
368,DTEGY,20.120001,0.011252,-1e-05
369,SOHU,14.43,0.024295,-5.4e-05
370,BJRI,29.110001,0.025805,-0.000379
371,HFBL,17.52,0.019977,8.8e-05
372,BKUT,529.75,0.018439,9.4e-05
373,TY,26.3099,0.008993,-0.000317
374,SFOSF,3.3475,0.02817,-0.000798
375,TGEN,1.4,0.047049,0.00071
376,ASC,15.23,0.02648,0.002165
377,PSO,11.34,0.017314,0.000125
378,JXSB,33.650002,0.015371,0.000275
379,CBSH,67.68,0.010633,-1.9e-05
380,ZNH,33.849998,0.017851,0.000273
381,CPK,119.300003,0.011806,3.8e-05
382,LECO,146.509995,0.010359,0.000194
383,AXP,157.259995,0.015186,3.3e-05
384,NYMT,2.87,0.01718,-0.000472
385,DYSL,2.5,0.023652,0.001285
386,RPM,102.870003,0.011378,0.000248
387,KFY,52.049999,0.01506,-0.000356
388,DLAKY,8.0301,0.026321,-0.000165
389,BHI,0.058,0.017455,0.000106
390,CSQ,13.9225,0.012406,-0.000288
391,DWAHF,19.98,0.009327,-0.00049
392,PEI,2.66,0.044624,-0.002618
393,WGO,56.41,0.020958,-8.5e-05
394,VRTB,2450.0,0.025653,0.001096
395,NTRA,38.900002,0.032894,-0.000956
396,THLEF,128.600006,0.016877,0.000461
397,SLG,35.064999,0.015565,-0.00108
398,SOCGM,25.68,0.009572,-0.00032
399,MICT,1.1184,0.040592,-0.000182
400,LLY,365.589996,0.012297,0.000704
401,SEE,51.529999,0.013175,-0.000102
402,AGZNF,5.61,0.022063,0.0
403,CFR,138.164993,0.01315,0.000366
404,PRAA,33.470001,0.011356,-0.000138
405,PRTK,2.005,0.030868,-0.001282
406,RMTI,0.99,0.050214,-0.001863
407,BRID,12.04,0.024456,0.000172
408,JNPR,32.452999,0.012631,0.000317
409,P,8.38,0.024273,0.000346
410,WOOF,10.57,0.021832,-0.000751
411,SNI,90.040001,0.01116,0.000584
412,THYCF,14.41,0.011849,-0.000752
413,BRDCY,18.41,0.018014,-0.000125
414,GIGM,1.2,0.026751,-0.000865
415,OFED,25.0,0.022644,0.000359
416,DARA,0.58,0.019974,0.000779
417,COMM,7.955,0.0293,-0.000958
418,MNRO,48.564999,0.017601,-0.000233
419,LQ,43.240002,0.028863,0.001991
420,HTBK,13.475,0.011955,0.000316
421,MCRI,81.855003,0.018008,0.000438
422,MMYT,28.674999,0.024108,0.000237
423,HPE,16.195,0.013982,0.00023
424,CZWI,12.72,0.012655,-1.8e-05
425,KB,40.52,0.013032,-0.000173
426,EVOL,1.45,0.026575,-0.00036
427,TIACF,0.4649,0.006534,-0.000321
428,WOLWF,23.440001,0.013968,-0.000344
429,PAR,23.49,0.027471,-0.001058
430,ANDE,35.0,0.020217,0.000363
431,PB,71.239998,0.01116,3.7e-05
432,SSD,94.150002,0.014419,-0.00012
433,HDB,68.959999,0.013813,3e-05
434,PSF,19.83,0.007632,-0.000575
435,NEO,11.76,0.035892,-0.001191
436,SPIL,8.59,0.005428,0.000264
437,TAP,52.549999,0.011903,3.4e-05
438,IPGP,94.415001,0.018939,-0.000916
439,GNRC,94.860001,0.027099,-0.001649
440,CGEMY,36.119999,0.015895,2.5e-05
441,INTK,0.0105,0.086651,0.003177
442,PGZ,11.16,0.008945,-0.000385
443,OCFC,22.220699,0.012847,0.000163
444,CAR,188.130005,0.042284,0.002034
445,PRLB,25.49,0.023689,-0.001485
446,CTC,0.156,0.01085,-8.3e-05
447,SLP,39.0,0.021394,-0.000258
448,XNCR,29.405001,0.020595,-5.3e-05
449,BIO,419.369995,0.015932,-0.00049
450,ITI,2.91,0.023294,-0.00084
451,WLFC,57.654999,0.01552,0.000552
452,CORT,21.309999,0.020473,0.000133
453,RMD,220.335007,0.013396,-7.2e-05
454,BOTJ,12.5,0.020783,-7.9e-05
