N,Hardness,Objective,deter_feas,prob_feas,feas,surplus
3,3,12235.014214480983,1,0,[0.7664],[-0.1836]
3,5,9663.146627785878,1,0,[0.5153],[-0.4347]
3,4,10866.74829127589,1,0,[0.6473],[-0.3027]
3,2,13908.257678260581,1,1,[0.9567],[0.0067]
3,0,18335.26550767601,1,1,[1.],[0.05]
3,1,15998.56142695227,1,1,[0.9986],[0.0486]
4,3,8557.018116075262,1,0,[0.7647],[-0.1853]
4,5,4712.301000746991,1,0,[0.4487],[-0.5013]
4,2,11341.871125789477,1,0,[0.784],[-0.166]
4,4,6361.68971558403,1,0,[0.737],[-0.213]
4,1,15007.438136482377,1,0,[0.8207],[-0.1293]
4,0,20051.482596199625,1,0,[0.8601],[-0.0899]
5,0,51692.8533305555,1,1,[1.],[0.05]
5,1,33368.42287154804,1,1,[1.],[0.05]
5,3,15090.101765623025,1,0,[0.4862],[-0.4638]
5,5,6606.683221584942,1,0,[0.1775],[-0.7725]
5,2,21845.75999808687,1,1,[0.9635],[0.0135]
5,4,10232.198481723466,1,0,[0.3207],[-0.6293]
