Hardness,Seed,Objective,ObjRatio,deter_feas,prob_feas,feas,surplus,Runtime,solutions
0,5,48367.58276158482,0.93567,1,1,[0.9994],[0.0494],322980.8523654938,[(322657.59254;[0.9992];[0.0492];47950.27464;1;1;[0.9994];[0.0494];48367.58276;100)]
0,1,51156.76317679375,0.98963,1,1,[1.],[0.05],349387.8517150879,[(349056.60987;[1.];[0.05];51742.80677;1;1;[1.];[0.05];51156.76318;100)]
0,3,49650.27665641439,0.96049,1,1,[0.9997],[0.0497],340467.55719184875,[(340090.87205;[0.9999];[0.0499];49578.68639;1;1;[0.9997];[0.0497];49650.27666;100)]
0,4,49141.559596555715,0.95065,1,1,[0.9992],[0.0492],361638.56196403503,[(361290.00592;[0.9997];[0.0497];50164.85851;1;1;[0.9992];[0.0492];49141.55960;100)]
0,2,50314.97203097381,0.97334,1,1,[0.998],[0.048],362558.2971572876,"[(340409.07478;[0.8144];[-0.1356];53016.93796;1;0;[0.8094];[-0.1406];48645.38483;100),(362107.58901;[0.9979];[0.0479];53458.30694;1;1;[0.998];[0.048];50314.97203;200)]"
0,6,49762.516059597176,0.96266,1,1,[0.9999],[0.0499],373176.8491268158,[(372832.60083;[0.9995];[0.0495];49360.35276;1;1;[0.9999];[0.0499];49762.51606;100)]
0,8,50879.85826630237,0.98427,1,1,[0.9991],[0.0491],314494.20857429504,[(314056.82254;[0.9994];[0.0494];53477.93611;1;1;[0.9991];[0.0491];50879.85827;100)]
1,1,33128.5060221189,0.99281,1,1,[0.998],[0.048],327337.8391265869,[(327005.06544;[0.9982];[0.0482];33573.83710;1;1;[0.998];[0.048];33128.50602;100)]
0,7,50231.31416496854,0.97173,1,1,[0.9997],[0.0497],394091.8288230896,"[(351891.15310;[0.9998];[0.0498];45395.31631;1;1;[0.9998];[0.0498];45395.31631;100),(369604.35772;[0.9988];[0.0488];48158.23157;1;1;[0.9988];[0.0488];48158.23157;200),(393677.34671;[0.9997];[0.0497];50231.31416;1;1;[0.9997];[0.0497];50231.31416;400)]"
0,9,48314.15462970677,0.93464,1,1,[0.9946],[0.0446],406088.7715816498,"[(351593.29462;[0.9947];[0.0447];43195.67915;1;1;[0.9951];[0.0451];43014.32759;100),(368787.24718;[0.9975];[0.0475];45034.19506;1;1;[0.997];[0.047];45616.23754;200),(405749.40109;[0.9944];[0.0444];49828.71411;1;1;[0.9946];[0.0446];48314.15463;400)]"
0,10,50203.98910597954,0.9712,1,1,[0.9905],[0.0405],427415.44699668884,"[(365705.21164;[0.8392];[-0.1108];53501.80241;1;0;[0.841];[-0.109];48472.96532;100),(392072.26133;[0.7946];[-0.1554];53304.92716;1;0;[0.7951];[-0.1549];47275.47665;200),(427101.78471;[0.9874];[0.0374];55941.53183;1;1;[0.9905];[0.0405];50203.98911;400)]"
1,3,32098.416034866423,0.96194,1,1,[0.9996],[0.0496],313336.2855911255,[(312966.05277;[0.9996];[0.0496];32046.30704;1;1;[0.9996];[0.0496];32098.41603;100)]
1,4,30755.348149215228,0.92169,1,1,[0.9987],[0.0487],309346.41098976135,[(308967.94033;[0.9992];[0.0492];31545.57944;1;1;[0.9987];[0.0487];30755.34815;100)]
1,5,30640.351297838988,0.91824,1,1,[0.9983],[0.0483],329264.062166214,[(328905.86543;[0.9984];[0.0484];30479.55363;1;1;[0.9983];[0.0483];30640.35130;100)]
1,2,32231.04456544104,0.96591,1,0,[0.722],[-0.228],706518.735408783,"[(322922.35470;[0.5771];[-0.3729];35317.44151;1;0;[0.5713];[-0.3787];30889.89762;100),(334873.52848;[0.7252];[-0.2248];35217.57869;1;0;[0.722];[-0.228];32231.04457;200),(590531.08811;[0.7252];[-0.2248];35217.57869;1;0;[0.722];[-0.228];32231.04457;200)]"
1,6,32318.29356697106,0.96853,1,1,[0.9995],[0.0495],320295.2527999878,[(319944.84353;[0.9992];[0.0492];32044.20182;1;1;[0.9995];[0.0495];32318.29357;100)]
1,7,31663.282215631953,0.9489,1,1,[0.9994],[0.0494],382852.6260852814,"[(328291.39638;[0.6417];[-0.3083];27642.39181;1;0;[0.6417];[-0.3083];27642.39181;100),(345960.64162;[0.9626];[0.0126];30845.97824;1;1;[0.9626];[0.0126];30845.97824;200),(382539.07084;[0.9994];[0.0494];31663.28222;1;1;[0.9994];[0.0494];31663.28222;400)]"
1,8,32861.93222565776,0.98482,1,1,[0.9931],[0.0431],325758.5127353668,[(325408.74457;[0.994];[0.044];34897.32066;1;1;[0.9931];[0.0431];32861.93223;100)]
1,9,31481.2542262271,0.94344,1,1,[0.9877],[0.0377],384614.4745349884,"[(315751.71041;[0.5365];[-0.4135];24856.78952;1;0;[0.5307];[-0.4193];24560.37078;100),(339038.16485;[0.9907];[0.0407];28284.47880;1;1;[0.9924];[0.0424];28635.50328;200),(384214.99228;[0.988];[0.038];33340.75433;1;1;[0.9877];[0.0377];31481.25423;400)]"
2,3,20854.961869983214,0.95465,1,1,[0.9987],[0.0487],300469.801902771,[(300021.97075;[0.9991];[0.0491];20888.46930;1;1;[0.9987];[0.0487];20854.96187;100)]
2,4,19642.145695998348,0.89913,1,1,[0.9978],[0.0478],343455.1537036896,[(343079.35667;[0.9976];[0.0476];20482.46559;1;1;[0.9978];[0.0478];19642.14570;100)]
2,1,21652.279183134884,0.99114,1,0,[0.6454],[-0.3046],664686.1960887909,"[(306900.05565;[0.649];[-0.301];22047.31879;1;0;[0.6454];[-0.3046];21652.27918;100),(495488.89184;[0.649];[-0.301];22047.31879;1;0;[0.6454];[-0.3046];21652.27918;100),(578077.13580;[0.649];[-0.301];22047.31879;1;0;[0.6454];[-0.3046];21652.27918;100)]"
