
hardness,objective,feas,runtime
hardness,objective,feas,runtime
hardness,objective,feas,runtime
-1,44076.40172059909,0.6393,413745.72682380676
hardness,objective,feas,runtime
-4,77819.47617258098,0.7915,788997.6615905762
-3,66978.86170169065,0.7611,786831.1321735382
-2,57377.10032010093,0.7223,796415.1091575623
-1,44078.1178515263,0.6412,783870.0838088989
0,31815.99366657491,0.5982,787498.8622665405
1,23535.447240449845,0.596,790675.154209137
2,17149.43872355191,0.5765,794677.7544021606
3,13059.41214286934,0.515,795781.3155651093
4,9508.852800094211,0.4517,789769.9794769287
