Hardness,Seed,Objective,feas,surplus,Runtime,solutions
0,1,51156.76317679375,[1.],[0.05],305833.56499671936,[(305411.19814;[1.];[0.05];51742.80677;[1.];[0.05];51156.76318;100)]
0,3,49650.27665641439,[0.9997],[0.0497],344821.4182853699,[(344514.52231;[0.9999];[0.0499];49578.68639;[0.9997];[0.0497];49650.27666;100)]
0,5,48367.58276158482,[0.9994],[0.0494],348465.2099609375,[(348077.99435;[0.9992];[0.0492];47950.27464;[0.9994];[0.0494];48367.58276;100)]
0,6,49762.516059597176,[0.9999],[0.0499],338658.89406204224,[(338287.51230;[0.9995];[0.0495];49360.35276;[0.9999];[0.0499];49762.51606;100)]
0,4,49141.559596555715,[0.9992],[0.0492],363977.7731895447,[(363653.99885;[0.9997];[0.0497];50164.85851;[0.9992];[0.0492];49141.55960;100)]
0,2,50314.97203097381,[0.998],[0.048],378583.8973522186,"[(358828.62091;[0.8144];[-0.1356];53016.93796;[0.8094];[-0.1406];48645.38483;100),(378255.97143;[0.9979];[0.0479];53458.30694;[0.998];[0.048];50314.97203;200)]"
0,8,50879.85826630237,[0.9991],[0.0491],346272.54366874695,[(345939.77547;[0.9994];[0.0494];53477.93611;[0.9991];[0.0491];50879.85827;100)]
0,7,50231.31416496854,[0.9997],[0.0497],398960.8120918274,"[(353785.04729;[0.9998];[0.0498];45395.31631;[0.9998];[0.0498];45395.31631;100),(381218.10794;[0.9988];[0.0488];48158.23157;[0.9988];[0.0488];48158.23157;200),(398562.73794;[0.9997];[0.0497];50231.31416;[0.9997];[0.0497];50231.31416;400)]"
1,1,33128.5060221189,[0.998],[0.048],359875.7658004761,[(359548.21110;[0.9982];[0.0482];33573.83710;[0.998];[0.048];33128.50602;100)]
0,9,48314.15462970677,[0.9946],[0.0446],424283.7061882019,"[(367949.19729;[0.9947];[0.0447];43195.67915;[0.9951];[0.0451];43014.32759;100),(401507.56121;[0.9975];[0.0475];45034.19506;[0.997];[0.047];45616.23754;200),(423961.40552;[0.9944];[0.0444];49828.71411;[0.9946];[0.0446];48314.15463;400)]"
0,10,50203.98910597954,[0.9905],[0.0405],427220.7775115967,"[(373293.43462;[0.8392];[-0.1108];53501.80241;[0.841];[-0.109];48472.96532;100),(412054.67916;[0.7946];[-0.1554];53304.92716;[0.7951];[-0.1549];47275.47665;200),(426915.30538;[0.9874];[0.0374];55941.53183;[0.9905];[0.0405];50203.98911;400)]"
1,2,32231.04456544104,[0.722],[-0.228],649863.529920578,"[(357777.21357;[0.5771];[-0.3729];35317.44151;[0.5713];[-0.3787];30889.89762;100),(369901.91126;[0.7252];[-0.2248];35217.57869;[0.722];[-0.228];32231.04457;200)]"
1,6,32318.29356697106,[0.9995],[0.0495],327896.4171409607,[(327591.14289;[0.9992];[0.0492];32044.20182;[0.9995];[0.0495];32318.29357;100)]
1,4,30755.348149215228,[0.9987],[0.0487],397738.3358478546,[(397406.32820;[0.9992];[0.0492];31545.57944;[0.9987];[0.0487];30755.34815;100)]
1,3,32098.416034866423,[0.9996],[0.0496],431139.4975185394,[(430695.63174;[0.9996];[0.0496];32046.30704;[0.9996];[0.0496];32098.41603;100)]
1,5,30640.351297838988,[0.9983],[0.0483],387479.3608188629,[(387078.23920;[0.9984];[0.0484];30479.55363;[0.9983];[0.0483];30640.35130;100)]
1,7,31663.282215631953,[0.9994],[0.0494],353527.7452468872,"[(317934.46779;[0.6417];[-0.3083];27642.39181;[0.6417];[-0.3083];27642.39181;100),(331107.61380;[0.9626];[0.0126];30845.97824;[0.9626];[0.0126];30845.97824;200),(353204.89573;[0.9994];[0.0494];31663.28222;[0.9994];[0.0494];31663.28222;400)]"
1,9,31481.2542262271,[0.9877],[0.0377],330879.46248054504,"[(296090.60168;[0.5365];[-0.4135];24856.78952;[0.5307];[-0.4193];24560.37078;100),(308493.77108;[0.9907];[0.0407];28284.47880;[0.9924];[0.0424];28635.50328;200),(330546.64922;[0.988];[0.038];33340.75433;[0.9877];[0.0377];31481.25423;400)]"
1,8,32861.93222565776,[0.9931],[0.0431],383955.08098602295,[(383622.85256;[0.994];[0.044];34897.32066;[0.9931];[0.0431];32861.93223;100)]
2,3,20854.961869983214,[0.9987],[0.0487],334745.79977989197,[(334299.60012;[0.9991];[0.0491];20888.46930;[0.9987];[0.0487];20854.96187;100)]
2,4,19642.145695998348,[0.9978],[0.0478],316664.37888145447,[(316289.15334;[0.9976];[0.0476];20482.46559;[0.9978];[0.0478];19642.14570;100)]
2,1,21652.279183134884,[0.6454],[-0.3046],668884.2525482178,"[(342303.66135;[0.649];[-0.301];22047.31879;[0.6454];[-0.3046];21652.27918;100),(568698.31061;[0.649];[-0.301];22047.31879;[0.6454];[-0.3046];21652.27918;100)]"
1,10,31483.817250702123,[0.6088],[-0.3412],691267.5371170044,"[(355492.00034;[0.6022];[-0.3478];35385.99449;[0.6005];[-0.3495];30717.61332;100),(390243.94989;[0.5521];[-0.3979];35516.19377;[0.5496];[-0.4004];29343.04269;200),(418917.61231;[0.6097];[-0.3403];36928.38979;[0.6088];[-0.3412];31483.81725;400)]"
2,6,19386.823845319752,[0.9984],[0.0484],326025.52318573,[(325655.31158;[0.9983];[0.0483];19301.53764;[0.9984];[0.0484];19386.82385;100)]
2,2,21424.177451263706,[0.5836],[-0.3664],714556.0131072998,"[(377427.09684;[0.525];[-0.425];24795.10632;[0.5212];[-0.4288];20273.03297;100),(418036.72218;[0.5838];[-0.3662];24058.15033;[0.5836];[-0.3664];21424.17745;200)]"
2,5,20013.54331697344,[0.9946],[0.0446],359054.181098938,"[(301468.17756;[0.5903];[-0.3597];18927.46514;[0.5891];[-0.3609];19092.71789;100),(358728.04570;[0.9951];[0.0451];19817.90029;[0.9946];[0.0446];20013.54332;200)]"
3,1,14903.327411585631,[0.4974],[-0.4526],652269.2482471466,"[(329802.41704;[0.4961];[-0.4539];15202.53560;[0.4971];[-0.4529];14924.83669;100),(498562.01720;[0.4971];[-0.4529];15201.31911;[0.4974];[-0.4526];14903.32741;100),(577134.80783;[0.4971];[-0.4529];15201.31911;[0.4974];[-0.4526];14903.32741;100)]"
3,2,14522.433558307725,[0.4627],[-0.4873],649796.6024875641,"[(303011.48796;[0.4205];[-0.5295];17728.08757;[0.4209];[-0.5291];13874.35516;100),(342278.25880;[0.465];[-0.485];17270.02435;[0.4627];[-0.4873];14522.43356;200)]"
2,8,21449.69443457982,[0.5999],[-0.3501],713421.879529953,"[(366969.85030;[0.6045];[-0.3455];23200.90155;[0.5999];[-0.3501];21449.69443;100),(593953.67742;[0.6045];[-0.3455];23200.90155;[0.5999];[-0.3501];21449.69443;100)]"
2,7,20833.007759331358,[0.8727],[-0.0773],756672.6796627045,"[(305356.45080;[0.4507];[-0.4993];16438.97348;[0.4507];[-0.4993];16438.97348;100),(325321.07091;[0.5163];[-0.4337];19105.94738;[0.5163];[-0.4337];19105.94738;200),(339246.36507;[0.5629];[-0.3871];19886.00428;[0.5629];[-0.3871];19886.00428;400),(363701.69973;[0.8727];[-0.0773];20833.00776;[0.8727];[-0.0773];20833.00776;800)]"
2,9,20289.279357861375,[0.8686],[-0.0814],753241.8549060822,"[(309112.63990;[0.5012];[-0.4488];17341.45105;[0.4975];[-0.4525];16847.58113;100),(321457.06892;[0.5504];[-0.3996];17986.96049;[0.5448];[-0.4052];18128.18875;200),(343349.75123;[0.8704];[-0.0796];22358.00248;[0.8686];[-0.0814];20289.27936;400)]"
2,10,20042.897112025836,[0.541],[-0.409],803564.1007423401,"[(311288.76472;[0.5446];[-0.4054];24454.93609;[0.541];[-0.409];20042.89711;100),(325518.54610;[0.4904];[-0.4596];24637.45823;[0.4845];[-0.4655];19215.86215;200),(349425.42791;[0.5326];[-0.4174];25495.57079;[0.5324];[-0.4176];20586.40382;400)]"
