Hardness,Seed,Objective,feas,surplus,Runtime,solutions
0,9,18083.889285827914,[0.8968],[-0.0532],148.3299732208252,[(143.99624;[0.95];[0.];19136.21715;[0.8968];[-0.0532];18083.88929;100)]
0,1,18328.876152156874,[1.],[0.05],151.43656730651855,[(147.00270;[1.];[0.05];18661.83346;[1.];[0.05];18328.87615;100)]
0,4,18213.73955181916,[1.],[0.05],278.9468765258789,[(274.40548;[1.];[0.05];17647.46256;[1.];[0.05];18213.73955;100)]
0,6,17833.81934403228,[1.],[0.05],132.08627700805664,[(127.75373;[1.];[0.05];17686.00061;[1.];[0.05];17833.81934;100)]
0,7,18298.29349698812,[1.],[0.05],240.47112464904785,[(235.84008;[1.];[0.05];18284.68733;[1.];[0.05];18298.29350;100)]
1,5,15528.496497143946,[1.],[0.05],279.0501117706299,[(274.65248;[1.];[0.05];15795.01940;[1.];[0.05];15528.49650;100)]
1,1,15874.155095915541,[1.],[0.05],206.4342498779297,[(201.69353;[1.];[0.05];16183.98375;[1.];[0.05];15874.15510;100)]
0,5,17939.368321919592,[1.],[0.05],479.4940948486328,[(475.07834;[1.];[0.05];18195.63156;[1.];[0.05];17939.36832;100)]
1,3,15857.808919121531,[1.],[0.05],270.48802375793457,[(266.14904;[1.];[0.05];15612.49440;[1.];[0.05];15857.80892;100)]
1,4,15761.598384054523,[1.],[0.05],237.0932102203369,[(232.57113;[1.];[0.05];15263.34438;[1.];[0.05];15761.59838;100)]
0,8,18161.03189376399,[0.9131],[-0.0369],218.0626392364502,[(210.70123;[0.97];[0.02];19459.56086;[0.9131];[-0.0369];18161.03189;100)]
0,3,18247.032308011978,[1.],[0.05],791.2380695343018,[(786.78036;[1.];[0.05];18021.62079;[1.];[0.05];18247.03231;100)]
1,6,15417.066292941434,[1.],[0.05],141.00384712219238,[(131.74558;[1.];[0.05];15349.53209;[1.];[0.05];15417.06629;100)]
1,7,15858.806491318888,[0.9755],[0.0255],281.0249328613281,[(276.88432;[0.99];[0.04];15877.32196;[0.9755];[0.0255];15858.80649;100)]
2,3,13710.591072692563,[0.9886],[0.0386],88.68741989135742,[(82.98993;[0.99];[0.04];13458.76354;[0.9886];[0.0386];13710.59107;100)]
2,5,13452.434397276522,[1.],[0.05],188.43674659729004,[(184.08585;[1.];[0.05];13652.63505;[1.];[0.05];13452.43440;100)]
2,6,13346.841324130133,[1.],[0.05],318.38488578796387,[(314.12530;[1.];[0.05];13244.64005;[1.];[0.05];13346.84132;100)]
2,1,13738.13434395335,[0.9998],[0.0498],184.3271255493164,[(177.39415;[1.];[0.05];13995.95232;[0.9998];[0.0498];13738.13434;100)]
2,4,13602.219706889839,[1.],[0.05],246.57511711120605,[(242.14840;[1.];[0.05];13151.99834;[1.];[0.05];13602.21971;100)]
2,7,13712.250115134466,[0.9459],[-0.0041],138.6580467224121,[(131.70910;[0.97];[0.02];13757.00501;[0.9459];[-0.0041];13712.25012;100)]
3,5,11916.30762765793,[1.],[0.05],146.61169052124023,[(142.48061;[1.];[0.05];11965.49797;[1.];[0.05];11916.30763;100)]
3,4,11872.610710059304,[1.],[0.05],187.80517578125,[(183.60996;[1.];[0.05];11479.49491;[1.];[0.05];11872.61071;100)]
3,6,11616.990283758061,[1.],[0.05],431.11538887023926,[(424.23558;[1.];[0.05];11540.06975;[1.];[0.05];11616.99028;100)]
